nickname,raw_value,raw_units,value,units,specifier,doi,record_method,,,experimental,state,
PTZBNO,0.27,[eV],[0.27],ElectronVolt^(1.0),ΔEst,10.1016/j.cej.2023.144565,AutoTableParser,,,1,CC1=CC=CC=C1,
PXZBNO,0.3,[eV],[0.3],ElectronVolt^(1.0),ΔEst,10.1016/j.cej.2023.144565,AutoTableParser,,,1,CC1=CC=CC=C1,
DtBuCzB,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.163725,AutoTableParser,,,1,CC1=CC=CC=C1,
BN-TB,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.163725,AutoTableParser,,,1,CC1=CC=CC=C1,
BN-PB,0.14,[eV],[0.14],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.163725,AutoTableParser,,,1,CC1=CC=CC=C1,
QAO-0,0.29,(eV),[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,CC1=CC=CC=C1,
QAO-1,0.31,(eV),[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,CC1=CC=CC=C1,
QAO-2,0.31,(eV),[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,CC1=CC=CC=C1,
QAO-3,0.21,(eV),[0.21],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,CC1=CC=CC=C1,
QAO-0,0.26,(eV),[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,0,-,
QAO-1,0.26,(eV),[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,0,-,
QAO-2,0.26,(eV),[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,0,-,
QAO-3,0.26,(eV),[0.21],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,0,-,
AmT,0.015,(eV),[0.015],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,
