,nickname,name.compound,name.smiles
48,BTP-S,"tris(2,6-dimethyl-4-(10H-phenothiazin-10-yl)phenyl)borane",CC1=CC(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=CC(C)=C1B(C5=C(C)C=C(N6C(C=CC=C7)=C7SC8=C6C=CC=C8)C=C5C)C9=C(C)C=C(N%10C(C=CC=C%11)=C%11SC%12=C%10C=CC=C%12)C=C9C
49,QCN-2TPA,"2-(4,4?-bis(diphenylamino)-[1,1’:3?,1?-terphenyl]-4?-yl) quinoxaline-6,7-dicarbonitrile",N#CC1=CC(N=C2)=C(C=C1C#N)N=C2C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3C(C=C7)=CC=C7N(C8=CC=CC=C8)C9=CC=CC=C9
50,QCN-TPA,"2-(4'-(diphenylamino)-[1,1'-biphenyl]-4-yl)quinoxaline-6,7-dicarbonitrile",N#CC1=CC(N=C2)=C(C=C1C#N)N=C2C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3
51,QCN-o-TPA,"2-(4'-(diphenylamino)-[1,1'-biphenyl]-2-yl)quinoxaline-6,7-dicarbonitrile",N#CC1=CC(N=C2)=C(C=C1C#N)N=C2C3=CC=CC=C3C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6
52,PQLM-DMAC,"(4-(9,9-dimethylacridin-10(9H)-yl)phenyl)(naphthalen-2-yl)methanone",O=C(C1=CC=C(N2C(C=CC=C3)=C3C(C)(C)C4=C2C=CC=C4)C=C1)C5=CC6=CC=CC=C6C=C5
53,None,"2,11-di-tert-butyl-4-methyl-5-oxa-8b-aza-15b-borabenzo[a]naphtho[1,2,3-hi]aceanthrylene",CC1=C2OC3=C4C(N(C5=C6C=CC=C5B4C2=CC(C(C)(C)C)=C1)C7=C6C=C(C(C)(C)C)C=C7)=CC=C3
54,DPQxPz,"5,10-bis(4-(2,3-diphenylquinoxalin-6-yl)phenyl)-5,10-dihydrophenazine",C1(C2=C(C3=CC=CC=C3)N=C(C=C(C4=CC=C(N5C(C=CC=C6)=C6N(C7=CC=C(C8=CC=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C8)C=C7)C%12=C5C=CC=C%12)C=C4)C=C%13)C%13=N2)=CC=CC=C1
55,DMQxPz,"5,10-bis(4-(2,3-dimethylquinoxalin-6-yl)phenyl)-5,10-dihydrophenazine",CC1=C(C)N=C(C=C(C2=CC=C(N3C(C=CC=C4)=C4N(C5=CC=C(C6=CC=C(N=C(C)C(C)=N7)C7=C6)C=C5)C8=C3C=CC=C8)C=C2)C=C9)C9=N1
56,QxPz,"5,10-bis(4-(quinoxalin-6-yl)phenyl)-5,10-dihydrophenazine",C12=NC=CN=C1C=CC(C3=CC=C(N4C(C=CC=C5)=C5N(C6=CC=C(C7=CC=C(N=CC=N8)C8=C7)C=C6)C9=C4C=CC=C9)C=C3)=C2
57,BNCz-SAF,None,CC(C1=CCC2N(C3=C4C=C(C(C)(C)C)C=C3C2=C1)C5=CC(N6C7=CC=CC=C7C8(C9=CC=CC=C9C%10=C8C=CC=C%10)C%11=C6C=CC=C%11)=CC%12=C5B4C(C=C(C(C)(C)C)C=C%13%14)=C%13N%12C%15=C%14C=C(C(C)(C)C)C=C%15)(C)C
